what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665061940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665068595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665111516
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1392665114718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665116905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665148157
error,log,,,"Internal Error",1392665185062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392665189186
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1392665190950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665192091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665216939
error,log,,,"Internal Error",1392665228653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1392665270994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1392665273243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1392665274523
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1392665274789
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1392665276663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1392665279381
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1392665282910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665282942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665284176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665284363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665288689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665292078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665293000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665300762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665300778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665301137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665307712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665307728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665311726
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1392665312772
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1392665313085
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1392665313553
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1392665313631
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1392665314834
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1392665316146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665322018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665322112
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1392665342260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665342275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392665343368
