what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.core,1.4.8,"org.tigris.subversion.subclipse.core",1406219550285
os,sysinfo,,,"win32",1406219550285
arch,sysinfo,,,"x86",1406219550285
ws,sysinfo,,,"win32",1406219550285
locale,sysinfo,,,"pt_BR",1406219550285
processors,sysinfo,,,"2",1406219550285
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1406219550285
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1406219550285
java.specification.name,sysinfo,,,"Java Platform API Specification",1406219550285
java.specification.vendor,sysinfo,,,"Oracle Corporation",1406219550285
java.specification.version,sysinfo,,,"1.7",1406219550285
java.vendor,sysinfo,,,"Oracle Corporation",1406219550285
java.version,sysinfo,,,"1.7.0_51",1406219550285
java.vm.info,sysinfo,,,"mixed mode, sharing",1406219550285
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1406219550285
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1406219550285
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1406219550285
java.vm.specification.version,sysinfo,,,"1.7",1406219550285
java.vm.vendor,sysinfo,,,"Oracle Corporation",1406219550285
java.vm.version,sysinfo,,,"24.51-b03",1406219550285
started,bundle,org.tigris.subversion.subclipse.ui,1.4.8,"org.tigris.subversion.subclipse.ui",1406219550331
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.ui",1406219550409
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1406219550612
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1406219550659
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1406219550909
